剧名称	group_title	发弹幕时刻相对于视频起始时间偏移量	累计点赞数	弹幕内容
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	97657	0	啊啊啊！好会说！！！
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	243122	0	卷毛小奶狗[送心][爱慕][大笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	41938	1	贾亚鑫我爱你
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	80184	4	大哥也穷啊[捂脸]资产被收回了
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	80416	0	笑不活了
北往	第1集	22825	0	一人拿一根甘蔗去打人？
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	53919	0	笑死我了
家里家外	第3集	61837	0	这个女主这一身好漂亮
那年冬至	第5集	2770	0	+1[鼓掌]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	21961	0	三刷
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	111171	0	我的妈诶，老三是这个人设啊[笑哭][笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	55649	0	李老爷年纪大，没跑过那些孙子[笑哭][笑哭][笑哭][笑哭]
十八岁太奶奶驾到，重整家族荣耀第三部	第3集	181639	0	[捂脸][捂脸][捂脸]
天下第一纨绔	第4集	59355	1	老大是演反派的老对手了[捂脸][捂脸][捂脸]
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	197416	0	真是魔丸
天下第一纨绔	第3集	146228	0	我3岁就已经失去了母爱，如今除了心眼小，就是报复心强……
家里家外	第5集	70632	0	女式的给老汉带哈哈哈
那年冬至	第3集	130125	0	？
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	242219	0	英宝：哈哈哈哈，老三你要啥爷爷都给你，你真是我的救星啊
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	225287	0	多少个孩子啊
家里家外	第2集	121473	0	好乘呀！这个小
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	98547	0	[送花]
北往	第1集	198204	0	东北人在外打工的我是没见过，基本都是当老板的。
撕夜	第2集	12460	0	二刷
家里家外	第3集	10890	0	新婚快乐
十八岁太奶奶驾到，重整家族荣耀第三部	第2集	142650	0	哈
十八岁太奶奶驾到，重整家族荣耀第三部	第4集	31446	0	张昊玥！！！[笑][笑]
十八岁太奶奶驾到，重整家族荣耀第三部	第1集	13590	0	出了第四季才从第一季开始看，真幸福[送花][送花][送花]
撕夜	第1集	36659	0	4刷
十八岁太奶奶驾到，重整家族荣耀第三部	第5集	35504	0	司机眼神不对
家里家外	第1集	18191	0	开始六刷[送花][送花][送花]
云渺1：我修仙多年强亿点怎么了	第1集	39294	1	最仙的，还是林秋奈[爱慕][爱慕][爱慕][爱慕]
天下第一纨绔	第1集	168137	5	顾二的剧情
